"chromosome"	"start.pos"	"end.pos"	"Bf"	"N.BAF"	"sd.BAF"	"depth.ratio"	"N.ratio"	"sd.ratio"	"CNt"	"A"	"B"	"LPP"
"chr1"	14667	9188378	0.261587901208982	186	0.0818242794028555	0.563080824056596	9393	0.19188097472828	1	1	0	-6.79107364202611
"chr1"	9211687	17431563	0.370706731726168	230	0.0687875690539422	1.12508992464542	9635	0.336475279684282	3	2	1	-6.74068863455929
"chr1"	17445682	27425864	0.363731164566262	301	0.0608387331452572	1.13566740365767	12358	0.339580736422417	3	2	1	-6.77356762165183
"chr1"	27425865	89445617	0.371536895690708	684	0.0575602079803971	1.11648540237449	43534	0.332965469224397	3	2	1	-6.74056843684625
"chr1"	89445618	121313547	0.168989742737487	399	0.0623131143508169	0.840644676659391	19739	0.26983715142459	2	2	0	-6.75942163183021
"chr1"	143912360	165877319	0.364851638886201	546	0.0636543815223375	1.15158188976456	28069	0.349430386082479	3	2	1	-6.87716516615717
"chr1"	166029773	167487849	0.234655318237214	23	0.0690982287572649	0.574446749790742	980	0.207523360078368	1	1	0	-6.78310374201182
"chr1"	167510255	183908047	0.444848471517478	302	0.0456819485306054	0.849994437547317	12460	0.243477619533266	2	1	1	-6.80300213908405
"chr1"	183908048	184943676	0.253830707756108	7	0.0555243404368965	0.596712916494617	730	0.18734751789905	1	1	0	-6.83681146895339
"chr1"	185056597	200575962	0.448764443299465	92	0.0586264014336113	0.810208371866804	4837	0.237749346621195	2	1	1	-6.85724194701705
"chr1"	200577973	215259877	0.446041189919748	348	0.0489316377958319	0.861055631884201	14973	0.25158664515074	2	1	1	-6.88675388833622
"chr1"	215297926	218615196	0.456997199974196	16	0.0327513358506184	0.760934378431251	1311	0.204923229897926	2	1	1	-7.1863849535705
"chr1"	218615197	236749282	0.365396017613389	297	0.0584133435921854	1.11460464164088	13261	0.343063964904939	3	2	1	-6.7464397585442
"chr1"	236749545	246110704	0.364276324154216	66	0.0745139213538281	1.03902067492633	3881	0.316332035831787	3	2	1	-6.98845635937091
"chr1"	246110823	247492950	0.439981920113408	31	0.052932620996805	1.37783269179625	1013	0.406452882883509	4	2	2	-6.73707277664201
